mime_type_id|type|name|extension
508|application/x-sv4cpio|System V Release 4 CPIO Archive|sv4cpio
509|application/x-sv4crc|System V Release 4 CPIO Checksum Data|sv4crc
510|application/x-tar|Tar File (Tape Archive)|tar
511|application/x-tcl|Tcl Script|tcl
512|application/x-tex|TeX|tex
513|application/x-tex-tfm|TeX Font Metric|tfm
514|application/x-texinfo|GNU Texinfo Document|texinfo
515|application/x-ustar|Ustar (Uniform Standard Tape Archive)|ustar
516|application/x-wais-source|WAIS Source|src
517|application/x-x509-ca-cert|X.509 Certificate|der
518|application/x-xfig|Xfig|fig
519|application/x-xpinstall|XPInstall - Mozilla|xpi
520|application/xcap-diff+xml|XML Configuration Access Protocol - XCAP Diff|xdf
521|application/xenc+xml|XML Encryption Syntax and Processing|xenc
522|application/xhtml+xml|XHTML - The Extensible HyperText Markup Language|xhtml
523|application/xml|XML - Extensible Markup Language|xml
524|application/xml-dtd|Document Type Definition|dtd
525|application/xop+xml|XML-Binary Optimized Packaging|xop
526|application/xslt+xml|XML Transformations|xslt
527|application/xspf+xml|XSPF - XML Shareable Playlist Format|xspf
528|application/xv+xml|MXML|mxml
529|application/yang|YANG Data Modeling Language|yang
530|application/yin+xml|YIN (YANG - XML)|yin
531|application/zip|Zip Archive|zip
532|audio/adpcm|Adaptive differential pulse-code modulation|adp
533|audio/basic|Sun Audio - Au file format|au
534|audio/midi|MIDI - Musical Instrument Digital Interface|mid
535|audio/mp4|MPEG-4 Audio|mp4a
536|audio/mpeg|MPEG Audio|mpga
537|audio/ogg|Ogg Audio|oga
538|audio/vnd.dece.audio|DECE Audio|uva
539|audio/vnd.digital-winds|Digital Winds Music|eol
540|audio/vnd.dra|DRA Audio|dra
541|audio/vnd.dts|DTS Audio|dts
542|audio/vnd.dts.hd|DTS High Definition Audio|dtshd
543|audio/vnd.lucent.voice|Lucent Voice|lvp
544|audio/vnd.ms-playready.media.pya|Microsoft PlayReady Ecosystem|pya
545|audio/vnd.nuera.ecelp4800|Nuera ECELP 4800|ecelp4800
546|audio/vnd.nuera.ecelp7470|Nuera ECELP 7470|ecelp7470
547|audio/vnd.nuera.ecelp9600|Nuera ECELP 9600|ecelp9600
548|audio/vnd.rip|Hit'n'Mix|rip
549|audio/webm|Open Web Media Project - Audio|weba
550|audio/x-aac|Advanced Audio Coding (AAC)|aac
